date,distance,year,month,day,rank,period
1985-01-25,174656.8413606808,1985,1,25,1,past
1957-03-11,213578.31326891124,1957,3,11,2,past
1953-12-25,240960.78753771892,1953,12,25,3,past
1959-03-13,246099.36762327413,1959,3,13,4,past
1979-02-21,271869.81360812846,1979,2,21,5,past
1965-03-09,279227.29419921216,1965,3,9,6,past
1977-03-11,295541.465173884,1977,3,11,7,past
1982-01-11,297021.4589250549,1982,1,11,8,past
1951-03-13,329610.3323774791,1951,3,13,9,past
1961-03-17,340021.99845419906,1961,3,17,10,past
1974-03-25,342990.2805991736,1974,3,25,11,past
1961-02-15,346691.41915315285,1961,2,15,12,past
1962-03-12,347464.7181244145,1962,3,12,13,past
1978-02-04,355631.8082853061,1978,2,4,14,past
1987-03-10,355901.9023141533,1987,3,10,15,past
2011-02-28,130379.00553240857,2011,2,28,1,present
1989-03-05,168490.68056425755,1989,3,5,2,present
1999-01-01,173255.31389748873,1999,1,1,3,present
2008-02-16,194909.7748621408,2008,2,16,4,present
1993-01-05,213760.96515446666,1993,1,5,5,present
2011-02-18,241444.98877045544,2011,2,18,6,present
1997-01-15,252995.6907738216,1997,1,15,7,present
2006-01-22,253375.97104893398,2006,1,22,8,present
1996-01-15,264197.74172852584,1996,1,15,9,present
1999-01-11,269363.4872167957,1999,1,11,10,present
1999-03-12,292945.64871181967,1999,3,12,11,present
1996-03-23,296671.45162020513,1996,3,23,12,present
2004-01-24,296945.55176461936,2004,1,24,13,present
2021-02-18,297283.7578983789,2021,2,18,14,present
2016-01-29,300004.6010686733,2016,1,29,15,present
